Estimator,relationship,Relatedness_Value,,,,
QGM,Half-Sibs,0.3176,0.25,,,
QGM,Half-Sibs,0.1762,0.25,,,
QGM,Half-Sibs,0.2886,0.25,,,
QGM,Half-Sibs,0.2938,0.25,,,
QGM,Half-Sibs,0.2906,0.25,,,
QGM,Half-Sibs,0.3831,0.25,,,
QGM,Half-Sibs,0.277,0.25,,,
QGM,Half-Sibs,0.4792,0.25,,,
QGM,Half-Sibs,0.3377,0.25,,,
QGM,Half-Sibs,0.145,0.25,,,
QGM,Half-Sibs,0.0858,0.25,,,
QGM,Half-Sibs,0.2677,0.25,,,
QGM,Half-Sibs,0.2066,0.25,,,
QGM,Half-Sibs,0.3607,0.25,,,
QGM,Half-Sibs,0.1514,0.25,,,
QGM,Half-Sibs,0.2352,0.25,,,
QGM,Half-Sibs,0.3067,0.25,,,
QGM,Half-Sibs,0.217,0.25,,,
QGM,Half-Sibs,0.4031,0.25,,,
QGM,Half-Sibs,0.2911,0.25,,,
QGM,Half-Sibs,0.2394,0.25,,,
QGM,Half-Sibs,0.2102,0.25,,,
QGM,Half-Sibs,0.135,0.25,,,
